Part,Value,Device,Package,Description
JP2,COM,SJ2W,SJ_2,SMD solder JUMPER
P1,7-SEG_SC56-11,7-SEG_SA56-11,SA56-11,Kingbright 14.2mm (0.56 INCH) SINGLE DIGIT NUMERIC DUISPLAY
R1,220R,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
R2,220R,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
R3,220R,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
R4,220R,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
R5,220R,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
R6,220R,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
R7,220R,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
R8,220R,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
X1,In A,ML6D,ML-6,
X2,In B,ML6D,ML-6,
